sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh)
2024-08-06T22:15:00Z,"21,565","4,034",0,0,"592,383","0,6951666666666667",0,"574,853","574,853"
2024-08-06T22:30:00Z,"1,799","1,391",0,0,"464,903","0,6834666666666667",0,"464,495","464,495"
2024-08-06T22:45:00Z,"11,162","9,677",0,0,"491,486","0,6735000000000001",0,"490,002","490,002"
2024-08-06T23:00:00Z,"8,565","33,136",0,0,"1766,486","0,6527000000000002",0,"1791,058","1791,058"
2024-08-06T23:15:00Z,"34,298","2,089",0,0,"1858,253","0,5974666666666667",0,"1826,044","1826,044"
2024-08-06T23:30:00Z,"1,47","4,705",0,0,"256,56","0,5800000000000001",0,"259,795","259,795"
2024-08-06T23:45:00Z,"0,802","0,693",0,0,"265,723","0,5715666666666668",0,"265,614","265,614"
2024-08-07T00:00:00Z,"0,649","2,071",0,0,"185,236","0,5700000000000001",0,"186,659","186,659"
2024-08-07T00:15:00Z,"11,726","4,589",0,0,"290,843","0,5615358361774745",0,"283,705","283,705"
2024-08-07T00:30:00Z,"2,631","1,984",0,0,"280,876","0,5563666666666667",0,"280,229","280,229"
2024-08-07T00:45:00Z,"0,471","0,792",0,0,"197,23","0,55",0,"197,551","197,551"
2024-08-07T01:00:00Z,"0,221","1,501",0,0,"244,413","0,5476333333333334",0,"245,694","245,694"
2024-08-07T01:15:00Z,"1,004","0,737",0,0,"252,153","0,54",0,"251,886","251,886"
2024-08-07T01:30:00Z,"0,528","3,446",0,0,"266,183","0,5354666666666666",0,"269,101","269,101"
2024-08-07T01:45:00Z,"1,072","1,095",0,0,"291,196","0,53",0,"291,219","291,219"
2024-08-07T02:00:00Z,"0,927","0,485",0,0,"196,91","0,5214",0,"196,468","196,468"
2024-08-07T02:15:00Z,"0,285","1,789",0,0,"190,5","0,52",0,"192,003","192,003"
2024-08-07T02:30:00Z,"0,495","0,577",0,0,"275,823","0,5134666666666667",0,"275,905","275,905"
2024-08-07T02:45:00Z,"0,749","4,249",0,0,"214,366","0,51",0,"217,867","217,867"
2024-08-07T03:00:00Z,"0,933","1,924",0,0,"250,71","0,5015666666666667",0,"251,701","251,701"
2024-08-07T03:15:00Z,"11,153","19,08",0,0,"266,853","0,49836666666666674",0,"274,78","274,78"
2024-08-07T03:30:00Z,"0,243","0,646",0,0,"221,04","0,49",0,"221,442","221,442"
2024-08-07T03:45:00Z,"0,71","0,932",0,0,"240,073","0,48790000000000006",0,"240,296","240,296"
2024-08-07T04:00:00Z,"8,176","4,717",0,0,"239,97","0,48",0,"236,511","236,511"
2024-08-07T04:15:00Z,"0,857","1,33",0,0,"230,966","0,4764666666666667",0,"231,44","231,44"
2024-08-07T04:30:00Z,"1,021","254,063",0,0,"2007,463","0,4624666666666667",0,"2260,505","2260,505"
2024-08-07T04:45:00Z,"65,448","338,041","25,283","2,146","1850,986","0,38793333333333335",0,"2146,716","2146,716"
2024-08-07T05:00:00Z,"2,973","1,715","162,72","30,95","0,87","0,38",0,"131,381","131,381"
2024-08-07T05:15:00Z,"3,134","2,692","318,47","89,023","0,293","0,38",0,"229,298","229,298"
2024-08-07T05:30:00Z,"4,544","4,034","495,036","271,396",0,"0,3849666666666667",0,"223,13","223,13"
2024-08-07T05:45:00Z,"6,985","3,071","767,906","636,86",0,"0,39520000000000005",0,"127,133","127,133"
2024-08-07T06:00:00Z,"10,885","13,881","941,893","803,393",0,"0,4139333333333334",0,"141,495","141,495"
