sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh)
2024-08-16T22:15:00Z,"3,717","2,534",0,0,"331,996","0,8192",0,"330,813","330,813"
2024-08-16T22:30:00Z,"1,277","0,369",0,0,"256,926","0,81",0,"256,018","256,018"
2024-08-16T22:45:00Z,"3,257","1,846",0,0,"250,513","0,8073666666666668",0,"249,101","249,101"
2024-08-16T23:00:00Z,"1,285","1,801",0,0,"357,303","0,8",0,"357,819","357,819"
2024-08-16T23:15:00Z,"2,973","0,631",0,0,"300,503","0,7905333333333334",0,"298,161","298,161"
2024-08-16T23:30:00Z,"1,585","1,336",0,0,"237,643","0,7878333333333334",0,"237,394","237,394"
2024-08-16T23:45:00Z,"1,183","0,692",0,0,"296,36","0,78",0,"295,868","295,868"
2024-08-17T00:00:00Z,"1,114","0,445",0,0,"201,33","0,7744666666666667",0,"200,661","200,661"
2024-08-17T00:15:00Z,"0,375","3,807",0,0,"261,603","0,77",0,"265,036","265,036"
2024-08-17T00:30:00Z,"3,809","0,974",0,0,"334,393","0,7622333333333334",0,"331,558","331,558"
2024-08-17T00:45:00Z,"1,983","0,531",0,0,"230,72","0,7582252559726963",0,"229,268","229,268"
2024-08-17T01:00:00Z,"0,408","1,398",0,0,"228,346","0,75",0,"229,337","229,337"
2024-08-17T01:15:00Z,"3,144","1,583",0,0,"287,42","0,7464666666666667",0,"285,859","285,859"
2024-08-17T01:30:00Z,"0,719","4,025",0,0,"231,603","0,74",0,"234,908","234,908"
2024-08-17T01:45:00Z,"0,49","1,073",0,0,"276,673","0,7350666666666668",0,"277,256","277,256"
2024-08-17T02:00:00Z,"1,48","1,043",0,0,"270,813","0,73",0,"270,375","270,375"
2024-08-17T02:15:00Z,"0,885","0,487",0,0,"224,023","0,7215",0,"223,625","223,625"
2024-08-17T02:30:00Z,"0,764","1,877",0,0,"255,023","0,72",0,"256,136","256,136"
2024-08-17T02:45:00Z,"14,605","2,871",0,0,"317,343","0,7102000000000002",0,"305,609","305,609"
2024-08-17T03:00:00Z,"1,296","2,93",0,0,"232,39","0,7051333333333334",0,"234,024","234,024"
2024-08-17T03:15:00Z,"20,088","11,44",0,0,"254,943","0,7000000000000001",0,"246,295","246,295"
2024-08-17T03:30:00Z,"1,208","0,49",0,0,"273,936","0,6932333333333334",0,"273,218","273,218"
2024-08-17T03:45:00Z,"1,093","0,584",0,0,"224,166","0,6900000000000001",0,"223,658","223,658"
2024-08-17T04:00:00Z,"11,354","9,099",0,0,"274,803","0,6829666666666667",0,"272,547","272,547"
2024-08-17T04:15:00Z,"4,224","1,265",0,0,"300,243","0,6771000000000001",0,"297,284","297,284"
2024-08-17T04:30:00Z,"1,438","0,675",0,0,"216,163","0,67",0,"215,4","215,4"
2024-08-17T04:45:00Z,"2,137","6,651",0,0,"246,156","0,6670333333333334",0,"250,67","250,67"
2024-08-17T05:00:00Z,"5,153","2,153","1,706",0,"235,55","0,66",0,"234,256","234,256"
2024-08-17T05:15:00Z,"9,086","2,451","272,866","71,663","33,846","0,66",0,"228,414","228,414"
2024-08-17T05:30:00Z,"4,645","3,205","358,436","93,85","1,056","0,66",0,"264,203","264,203"
2024-08-17T05:45:00Z,"8,974","3,338","648,726","459,563",0,"0,6648000000000001",0,"183,527","183,527"
2024-08-17T06:00:00Z,"9,715","234,816","515,72","100,303","3566,766","0,6437",0,"4207,284","4207,284"
2024-08-17T06:15:00Z,"276,84","66,964","619,613","424,213","258,21","0,5856333333333335",0,"243,734","243,734"
2024-08-17T06:30:00Z,"13,256","8,256","1255,383","1041,25",0,"0,6031666666666667",0,"209,134","209,134"
2024-08-17T06:45:00Z,"7,734","12,123","753,94","540,463",0,"0,6249",0,"217,865","217,865"
2024-08-17T07:00:00Z,"14,539","10,111","880,83","669,076",0,"0,6427666666666667",0,"207,325","207,325"
2024-08-17T07:15:00Z,"17,186","5,911","647,483","430,506",0,"0,6526000000000001",0,"205,701","205,701"
