,35,45,55
-20.0,8.0,7.5,7.0
-17.5,9.5,9.0,8.5
-15.0,10.0,9.8,9.0
-12.5,11.5,11.0,10.5
-10.0,13.0,12.5,11.0
-7.5,14.0,13.0,12.0
-5.0,15.0,13.5,12.5
-2.5,17.0,15.5,13.0
-1.0,12.0,12.0,12.0
0.0,12.5,12.5,12.5
2.5,12.7,12.7,12.7
5.0,15.0,15.0,14.9
9.0,20.0,18.5,17.5
