,35,45,55
-20.0,4.2,4.0,3.8
-17.5,5.0,4.8,4.5
-15.0,5.2,5.0,4.8
-12.5,6.1,6.0,5.5
-10.0,7.0,6.8,6.1
-7.5,7.3,7.3,7.0
-5.0,8.2,8.2,7.1
-2.5,9.0,9.0,7.7
-1.0,6.0,6.0,6.0
0.0,6.5,6.5,6.5
2.5,7.0,7.0,7.0
5.0,8.2,8.1,8.0
9.0,11.0,10.5,9.5
