,35,45,55
-20.0,6.0,5.9,5.0
-17.5,6.9,6.5,5.9
-15.0,7.2,7.0,6.5
-12.5,8.1,8.0,7.5
-10.0,9.2,9.0,8.2
-7.5,10.0,10.0,9.2
-5.0,11.0,11.0,10.0
-2.5,12.3,12.3,11.0
-1.0,8.2,8.2,8.2
0.0,8.5,9.0,8.5
2.5,9.5,9.5,9.5
5.0,11.1,11.1,10.8
9.0,14.5,13.9,12.5
