sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-08-02T22:15:00Z,"11,488","17,081",0,0,"169,043","0,92",0,"159,645","174,637","14,991"
2024-08-02T22:30:00Z,"0,446","1,264",0,0,"169,486","0,9182666666666667",0,"155,251","170,304","15,053"
2024-08-02T22:45:00Z,"0,78","4,731",0,0,"194,243","0,91",0,"183,105","198,194","15,089"
2024-08-02T23:00:00Z,"0,967","1,585",0,0,"162,49","0,91",0,"150,804","163,107","12,303"
2024-08-02T23:15:00Z,"0,291","1,992",0,0,"150,566","0,9013666666666668",0,"141,562","152,268","10,705"
2024-08-02T23:30:00Z,"1,324","1,312",0,0,"194,936","0,9",0,"184,224","194,924","10,699"
2024-08-02T23:45:00Z,"0,14","0,752",0,0,"136,483","0,8963333333333334",0,"126,379","137,094","10,714"
2024-08-03T00:00:00Z,"0,884","2,162",0,0,"215,78","0,89",0,"206,352","217,058","10,705"
2024-08-03T00:15:00Z,"0,266","0,839",0,0,"136,54","0,89",0,"126,405","137,112","10,707"
2024-08-03T00:30:00Z,"0,663","1,948",0,0,"170,113","0,8813666666666667",0,"160,674","171,398","10,723"
2024-08-03T00:45:00Z,"0,948","0,696",0,0,"173,416","0,88",0,"162,429","173,164","10,735"
2024-08-03T01:00:00Z,"0,953","1,181",0,0,"160,78","0,8752666666666667",0,"150,296","161,008","10,711"
2024-08-03T01:15:00Z,"0,333","1,754",0,0,"179,343","0,87",0,"170,049","180,764","10,714"
2024-08-03T01:30:00Z,"1,532","1,354",0,0,"163,333","0,8692666666666667",0,"152,475","163,155","10,679"
2024-08-03T01:45:00Z,"0,31","1,284",0,0,"141,696","0,86",0,"131,963","142,671","10,707"
2024-08-03T02:00:00Z,"1,278","0,984",0,0,"203,92","0,86",0,"192,922","203,626","10,703"
2024-08-03T02:15:00Z,"0,266","0,738",0,0,"136,16","0,8548",0,"125,946","136,631","10,684"
2024-08-03T02:30:00Z,"1,124","1,926",0,0,"197,973","0,85",0,"188,076","198,775","10,698"
2024-08-03T02:45:00Z,"0,762","0,807",0,0,"144,313","0,85",0,"133,65","144,357","10,707"
2024-08-03T03:00:00Z,"0,818","1,31",0,0,"160,183","0,8406666666666668",0,"150,001","160,676","10,674"
2024-08-03T03:15:00Z,"1,272","1,286",0,0,"181,45","0,84",0,"170,75","181,464","10,713"
2024-08-03T03:30:00Z,"0,553","1,45",0,0,"160,236","0,8343",0,"150,449","161,134","10,684"
2024-08-03T03:45:00Z,"0,333","1,755",0,0,"166,87","0,8300000000000001",0,"157,575","168,291","10,715"
2024-08-03T04:00:00Z,"1,254","1,07",0,0,"161,4","0,8298000000000001",0,"150,513","161,215","10,701"
2024-08-03T04:15:00Z,"1,388","1,213","68,09","1,153","45,063","0,8200000000000001",0,"100,951","111,825","10,874"
2024-08-03T04:30:00Z,"2,902","0,767","192,396","34,62","27,776","0,8201666666666667",0,"168,469","183,418","14,949"
2024-08-03T04:45:00Z,"2,261","0,633","383,943","267,03",0,"0,8300000000000001",0,"100,217","115,285","15,068"
