sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-06-09T22:15:00Z,"13,238","11,987",0,0,"193,336","0,93",0,"159,874","192,085","32,211"
2024-06-09T22:30:00Z,"1,323","0,686",0,0,"198,1","0,9207000000000001",0,"162,042","197,463","35,421"
2024-06-09T22:45:00Z,"0,227","0,588",0,0,"155,19","0,92",0,"118,717","155,551","36,834"
2024-06-09T23:00:00Z,"0,857","1,212",0,0,"175,226","0,9147",0,"141,535","175,582","34,046"
2024-06-09T23:15:00Z,"0,383","1,816",0,0,"189,93","0,91",0,"158,827","191,362","32,534"
2024-06-09T23:30:00Z,"1,355","1,037",0,0,"187,296","0,907",0,"154,424","186,978","32,553"
2024-06-09T23:45:00Z,"0,629","0,614",0,0,"159,486","0,9",0,"126,946","159,471","32,524"
2024-06-10T00:00:00Z,"0,237","0,766",0,0,"150,883","0,9",0,"118,874","151,412","32,537"
2024-06-10T00:15:00Z,"0,886","1,986",0,0,"216,833","0,8922333333333334",0,"185,437","217,933","32,496"
2024-06-10T00:30:00Z,"0,482","0,758",0,0,"167,876","0,89",0,"135,703","168,152","32,449"
2024-06-10T00:45:00Z,"0,891","1,43",0,0,"173,633","0,8845333333333334",0,"139,661","174,172","34,51"
2024-06-10T01:00:00Z,"0,689","0,84",0,0,"154,79","0,88",0,"120,513","154,94","34,427"
2024-06-10T01:15:00Z,"0,791","2,483",0,0,"200,45","0,8777000000000001",0,"168,018","202,142","34,124"
2024-06-10T01:30:00Z,"1,346","0,873",0,0,"185,323","0,87",0,"150,375","184,85","34,474"
2024-06-10T01:45:00Z,"5,06","12,495",0,0,"746,216","0,8631000000000001",0,"129,091","753,652","624,56"
2024-06-10T02:00:00Z,"1,06","1,502",0,0,"829,453","0,8407333333333334",0,"153,359","829,894","676,534"
2024-06-10T02:15:00Z,"0,39","1,37",0,0,"882,336","0,8197666666666668",0,"176,39","883,315","706,925"
2024-06-10T02:30:00Z,"0,475","0,886",0,0,"879,833","0,7985333333333334",0,"145,644","880,244","734,6"
2024-06-10T02:45:00Z,"9,724","1,446",0,0,"449,553","0,7814666666666668",0,"132,383","441,275","308,892"
2024-06-10T03:00:00Z,"0,714","0,904",0,0,"173,85","0,7750333333333335",0,"140,02","174,04","34,019"
2024-06-10T03:15:00Z,"0,674","5,312",0,0,"188,033","0,77",0,"158,342","192,671","34,328"
2024-06-10T03:30:00Z,"1,386","1,343","13,983",0,"148,183","0,77",0,"127,659","162,123","34,464"
2024-06-10T03:45:00Z,"0,654","0,581","75,433",0,"50,49","0,765",0,"92,47","125,85","33,379"
2024-06-10T04:00:00Z,"1,291","1,234","124,54","0,913","12,556","0,76",0,"103,759","136,126","32,367"
2024-06-10T04:15:00Z,"0,911","1,339","114,696",0,"63,2","0,76",0,"145,695","178,324","32,629"
2024-06-10T04:30:00Z,"4,484","0,061","272,296","131,796","9,553","0,7626333333333334",0,"108,842","145,63","36,788"
2024-06-10T04:45:00Z,"3,256","1,476","680,99","526,46",0,"0,7755666666666667",0,"115,79","152,75","36,959"
2024-06-10T05:00:00Z,"0,318","2,52","448,48","326,543",0,"0,79",0,"91,026","124,138","33,112"
2024-06-10T05:15:00Z,"1,916","13,403","348,663","161,306","46,583","0,7992666666666668",0,"143,535","245,426","101,89"
2024-06-10T05:30:00Z,"4,039","2,865","389,18",0,"1093,946","0,7839333333333335",0,"126,148","1481,953","1355,804"
2024-06-10T05:45:00Z,"1,228","1,777","400,616",0,"1120,09","0,7589",0,"102,223","1521,256","1419,032"
2024-06-10T06:00:00Z,"1,715","1,132","619,003",0,"982,813","0,7329000000000001",0,"123,434","1601,233","1477,798"
2024-06-10T06:15:00Z,"23,46","3,131","645,623","319,163","247,313","0,7215",0,"136,934","553,444","416,51"
2024-06-10T06:30:00Z,"2,018","1,371","706,173","547,943",0,"0,7383333333333334",0,"127,148","157,582","30,434"
2024-06-10T06:45:00Z,"2,734","0,46","699,013","563,546",0,"0,7587666666666667",0,"98,308","133,192","34,883"
2024-06-10T07:00:00Z,"2,997","2,096","801,696","668,75",0,"0,7793000000000001",0,"95,175","132,046","36,871"
2024-06-10T07:15:00Z,"1,629","1,727","815,486","631,656",0,"0,7997333333333334",0,"149,607","183,927","34,319"
2024-06-10T07:30:00Z,"6,457","6,251","1076,706","934,4",0,"0,8214",0,"111,318","142,1","30,782"
2024-06-10T07:45:00Z,"7,088","0,92","1224,786","1075,476",0,"0,8467333333333333",0,"112,549","143,142","30,592"
2024-06-10T08:00:00Z,"5,122","2,014","1447,006","1318,99",0,"0,875",0,"94,311","124,907","30,596"
2024-06-10T08:15:00Z,"7,871","10,463","1955,033","1787,31",0,"0,9168000000000001",0,"135,113","170,314","35,201"
2024-06-10T08:30:00Z,"3,816","4,604","1205,71","1037,53",0,"0,9507666666666666",0,"133,074","168,968","35,893"
2024-06-10T08:45:00Z,"2,437","3,602","1219,01","1101,56",0,"0,9761",0,"89,807","118,615","28,808"
2024-06-10T09:00:00Z,"2,639","2,714","883,173","739,223",0,"0,99",0,"113,73","144,024","30,294"
2024-06-10T09:15:00Z,"17,689","10,102","1266,373","1097,773",0,"0,99",0,"129,815","161,012","31,196"
2024-06-10T09:30:00Z,"625,319","4,625","1129,993","352,446","4,453","0,9944000000000002",0,"127,634","161,306","33,671"
2024-06-10T09:45:00Z,"1324,361",0,"1463,446",0,"10,02",1,0,"116,932","149,105","32,173"
2024-06-10T10:00:00Z,"1043,802",0,"1158,726",0,"10,043",1,0,"98,535","124,967","26,432"
2024-06-10T10:15:00Z,"1113,383","0,252","1284,476",0,"10,67",1,0,"155,646","182,015","26,368"
2024-06-10T10:30:00Z,"1401,118",0,"1554,05",0,"10,02",1,0,"131,229","162,951","31,721"
2024-06-10T10:45:00Z,"1065,306",0,"1200,906",0,"9,993",1,0,"112,963","145,593","32,629"
2024-06-10T11:00:00Z,"1956,946",0,"2093,716",0,"10,043",1,0,"114,05","146,813","32,763"
2024-06-10T11:15:00Z,"1874,254",0,"2027,566",0,10,1,0,"132,385","163,312","30,927"
2024-06-10T11:30:00Z,"1494,043",0,"1675,313",0,"10,01",1,0,"156,377","191,279","34,902"
