sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-05-20T22:15:00Z,"16,43","11,398",0,0,"169,45","0,11883333333333335",0,"133,864","164,418","30,553"
2024-05-20T22:30:00Z,"0,762","1,159",0,0,"213,966","0,11",0,"183,783","214,363","30,58"
2024-05-20T22:45:00Z,"1,105","1,363",0,0,"196,196","0,10703333333333333",0,"165,947","196,455","30,507"
2024-05-20T23:00:00Z,"0,329","0,718",0,0,"165,936","0,1",0,"138,466","166,325","27,859"
2024-05-20T23:15:00Z,"0,985","2,287",0,0,"234,274","0,09558528428093645",0,"209,252","235,576","26,323"
2024-05-20T23:30:00Z,"0,463","0,649",0,0,"175,586","0,09",0,"149,51","175,772","26,262"
2024-05-20T23:45:00Z,"0,252","0,637",0,0,"163,333","0,08383333333333334",0,"137,481","163,718","26,237"
2024-05-21T00:00:00Z,"1,363","1,833",0,0,"232,01","0,08",0,"206,211","232,48","26,268"
2024-05-21T00:15:00Z,"0,277","0,634",0,0,"163,86","0,08",0,"137,864","164,217","26,353"
2024-05-21T00:30:00Z,"1,475","1,066",0,0,"188,393","0,07323333333333334",0,"161,563","187,983","26,419"
2024-05-21T00:45:00Z,"0,925","4,552",0,0,"209,366","0,07",0,"186,579","212,993","26,413"
2024-05-21T01:00:00Z,"0,442","1,074",0,0,"176,7","0,07",0,"151,038","177,331","26,293"
2024-05-21T01:15:00Z,"0,66","0,732",0,0,"174,72","0,07",0,"148,48","174,792","26,311"
2024-05-21T01:30:00Z,"1,287","0,898",0,0,"211,013","0,07",0,"184,308","210,624","26,316"
2024-05-21T01:45:00Z,"0,976","1,19",0,0,"187,573","0,06366666666666668",0,"161,467","187,787","26,319"
2024-05-21T02:00:00Z,"1,4","13,731",0,0,"507,433","0,06",0,"141,896","519,764","377,868"
2024-05-21T02:15:00Z,"0,779","923,31",0,0,"560,723","0,05356666666666667",0,"187,116","1483,254","1296,138"
2024-05-21T02:30:00Z,0,"1420,554",0,0,0,"0,05",0,"96,112","1420,554","1324,441"
2024-05-21T02:45:00Z,0,"1487,423",0,0,0,"0,05",0,"107,776","1487,423","1379,646"
2024-05-21T03:00:00Z,0,"850,076",0,0,0,"0,05",0,"148,534","850,076","701,542"
2024-05-21T03:15:00Z,0,"121,287",0,0,0,"0,05",0,"95,162","121,287","26,124"
2024-05-21T03:30:00Z,0,"146,07",0,0,0,"0,05",0,"119,98","146,07","26,089"
2024-05-21T03:45:00Z,0,"167,349",0,0,0,"0,05",0,"141,265","167,349","26,084"
2024-05-21T04:00:00Z,0,"139,439","2,254",0,0,"0,05",0,"115,633","141,693","26,06"
2024-05-21T04:15:00Z,"0,622","32,674","100,046","0,34","6,683","0,05",0,"109,878","138,441","28,562"
2024-05-21T04:30:00Z,"7,04","211,425","218,006","16,68","6,48","0,05",0,"375,179","412,191","37,011"
2024-05-21T04:45:00Z,"15,414","17,42","712,99","524,116","0,043","0,06033333333333334",0,"153,795","190,922","37,127"
2024-05-21T05:00:00Z,"2,487","13,247","812,11","644,793",0,"0,08186666666666667",0,"140,88","178,076","37,195"
2024-05-21T05:15:00Z,"48,361","25,541","646,176","382,79","69,666","0,09806666666666666",0,"276,351","310,233","33,882"
2024-05-21T05:30:00Z,"15,348","16,701","684,84","531,556","2,943","0,11130000000000001",0,"126,399","157,58","31,18"
2024-05-21T05:45:00Z,"48,832","72,59","1552,02","601,856","332,04","0,12578595317725752",0,"1267,273","1305,961","38,687"
2024-05-21T06:00:00Z,"40,507","44,23","1761,416","1038,53","167,943","0,1517666666666667",0,"852,268","894,552","42,284"
2024-05-21T06:15:00Z,"32,253","25,304","1784,14","1542,233",0,"0,19443333333333335",0,"192,904","234,958","42,053"
2024-05-21T06:30:00Z,"34,761","50,28","1782,003","1504,893",0,"0,24610000000000004",0,"250,578","292,629","42,051"
2024-05-21T06:45:00Z,"68,085","41,543","2256,13","348,636","66,08","0,26116666666666666",0,"1904,469","1947,03","42,561"
2024-05-21T07:00:00Z,"42,559","55,702","2385,15","2129,1",0,"0,2950666666666667",0,"227,226","269,192","41,966"
2024-05-21T07:15:00Z,"13,16","22,62","2628,133","2464,146",0,"0,3542333333333334",0,"131,62","173,446","41,825"
2024-05-21T07:30:00Z,"17,018","18,776","2553,21","2340,026",0,"0,4131",0,"173,083","214,942","41,858"
2024-05-21T07:45:00Z,"20,968","17,041","2995,643","2815,71",0,"0,4734666666666667",0,"134,355","176,007","41,651"
2024-05-21T08:00:00Z,"26,643","26,256","3004,966","2850,653",0,"0,5437333333333334",0,"116,862","153,926","37,063"
2024-05-21T08:15:00Z,"36,005","37,92","2813,526","2606,1",0,"0,6104333333333334",0,"172,418","209,341","36,923"
2024-05-21T08:30:00Z,"36,324","25,183","2914,176","2742,673",0,"0,6737000000000001",0,"123,433","160,362","36,928"
2024-05-21T08:45:00Z,"29,143","31,044","3328,05","3157,966",0,"0,7482333333333334",0,"135,055","171,983","36,928"
2024-05-21T09:00:00Z,"24,334","24,684","3513,276","3323,633",0,"0,8279000000000001",0,"153,045","189,994","36,948"
2024-05-21T09:15:00Z,"18,54","10,64","3781,32","3605,55",0,"0,9111333333333335",0,"130,897","167,87","36,972"
2024-05-21T09:30:00Z,"10,902","11,184","4249,712","4079,675",0,"0,9830996309963099",0,"136,518","170,318","33,799"
2024-05-21T09:45:00Z,"3914,136",0,"4127,684",0,"9,351",1,0,"190,065","222,899","32,833"
2024-05-21T10:00:00Z,"4130,166",0,"4323,5",0,"9,72",1,0,"173,4","203,053","29,652"
2024-05-21T10:15:00Z,"3822,612",0,"3978,366",0,"10,016",1,0,"139,064","165,77","26,706"
2024-05-21T10:30:00Z,"3298,419",0,"3495,023",0,"9,983",1,0,"179,907","206,587","26,679"
2024-05-21T10:45:00Z,"2940,452",0,"3113,976",0,"9,983",1,0,"156,949","183,507","26,558"
2024-05-21T11:00:00Z,"2780,108",0,"2924,123",0,"9,956",1,0,"128,314","153,971","25,657"
2024-05-21T11:15:00Z,"2629,357",0,"2835,903",0,10,1,0,"191,2","216,545","25,344"
2024-05-21T11:30:00Z,"2608,936",0,"2761,633",0,"9,88",1,0,"137,104","162,576","25,472"
2024-05-21T11:45:00Z,"1861,616",0,"2017,523",0,"9,986",1,0,"140,523","165,893","25,37"
2024-05-21T12:00:00Z,"465,456","15,477","771,66",0,"573,79","0,9938333333333335",0,"173,173","895,471","722,297"
2024-05-21T12:15:00Z,"5,884","0,892","334,326",0,"936,62","0,9632000000000001",0,"126,445","1265,954","1139,509"
2024-05-21T12:30:00Z,"2,985","1,785","662,883",0,"575,893","0,9432333333333334",0,"139,303","1237,576","1098,273"
2024-05-21T12:45:00Z,"5,295","10,299","460,853",0,"892,37","0,9228000000000001",0,"162,176","1358,227","1196,05"
2024-05-21T13:00:00Z,"20,818","2,121","1643,28","1286,486","52,786","0,9220666666666668",0,"140,078","390,883","250,804"
2024-05-21T13:15:00Z,"2,649","2,262","1779,533","1639,613",0,"0,9621000000000001",0,"114,207","139,533","25,326"
2024-05-21T13:30:00Z,"641,596","2,646","1657,953","837,822","4,769","0,9942809364548495",0,"160,5","185,949","25,448"
2024-05-21T13:45:00Z,"1322,17",0,"1479,453",0,"10,186",1,0,"141,923","167,469","25,546"
2024-05-21T14:00:00Z,"1297,671",0,"1431,887",0,"10,075",1,0,"118,637","144,291","25,653"
2024-05-21T14:15:00Z,"1324,36",0,"1528,616",0,"10,196",1,0,"188,729","214,452","25,723"
2024-05-21T14:30:00Z,"1131,207",0,"1266,2",0,"10,11",1,0,"119,593","145,102","25,509"
2024-05-21T14:45:00Z,"849,444",0,"997,116",0,"10,136",1,0,"132,435","157,808","25,372"
2024-05-21T15:00:00Z,"378,657",0,"566,523",0,"9,953",1,0,"172,421","197,819","25,397"
2024-05-21T15:15:00Z,"303,902",0,"434,76",0,"9,83",1,0,"115,257","140,687","25,43"
2024-05-21T15:30:00Z,"65,042","0,646","188,08","0,02","12,236","0,9931666666666668",0,"111,072","135,9","24,828"
2024-05-21T15:45:00Z,"2,831","2,282","92,686",0,"108,893","0,9882666666666667",0,"176,302","201,031","24,729"
2024-05-21T16:00:00Z,"132,838","0,243","267,07",0,"11,52","0,98",0,"121,281","145,995","24,714"
2024-05-21T16:15:00Z,"173,419",0,"311,013",0,"9,83","0,98",0,"122,698","147,423","24,725"
2024-05-21T16:30:00Z,"4,559","1,699","150,653",0,"55,306","0,98",0,"178,388","203,099","24,71"
2024-05-21T16:45:00Z,"17,609","0,734","167,64",0,"27,006","0,98",0,"153,061","177,771","24,709"
2024-05-21T17:00:00Z,"27,17","4,179","198,533",0,"41,493","0,98",0,"192,283","217,035","24,752"
2024-05-21T17:15:00Z,"0,949","1,871","105,423",0,"131,746","0,98",0,"213,324","238,092","24,768"
2024-05-21T17:30:00Z,"57,344","86,76","46,983",0,"1367,506","0,9680333333333334",0,"1419,131","1443,905","24,773"
2024-05-21T17:45:00Z,"58,609","42,566","29,46",0,"1373,583","0,9238333333333334",0,"1362,035",1387,"24,965"
2024-05-21T18:00:00Z,"1,494","2,39","34,939",0,"262,04","0,91",0,"271,32","297,875","26,554"
2024-05-21T18:15:00Z,"2,827","5,49","20,573",0,"252,373","0,9040333333333334",0,"245,432","275,609","30,177"
2024-05-21T18:30:00Z,"3,918","3,558","28,296",0,"197,57","0,9",0,"195,443","225,507","30,063"
2024-05-21T18:45:00Z,"1,306","2,014","11,78",0,"201,55","0,8940333333333333",0,"183,915","214,038","30,122"
2024-05-21T19:00:00Z,"0,846","1,333",0,0,"190,276","0,89",0,"160,613","190,763","30,149"
2024-05-21T19:15:00Z,"0,48","2,322",0,0,"320,09","0,8838127090301003",0,"291,612","321,931","30,319"
2024-05-21T19:30:00Z,"17,119","20,028",0,0,"496,733","0,8718666666666667",0,"469,327","499,642","30,314"
2024-05-21T19:45:00Z,"0,548","0,663",0,0,"374,117","0,86",0,"343,908","374,232","30,323"
2024-05-21T20:00:00Z,"26,532","22,225",0,0,"574,233","0,8440333333333334",0,"539,576","569,926","30,35"
2024-05-21T20:15:00Z,"2,292","1,63",0,0,"258,726","0,84",0,"227,61","258,064","30,454"
2024-05-21T20:30:00Z,"0,674","0,972",0,0,"193,59","0,8309666666666669",0,"163,473","193,888","30,415"
2024-05-21T20:45:00Z,"5,523","16,833",0,0,"1161,583","0,8185000000000001",0,"200,609","1172,894","972,284"
2024-05-21T21:00:00Z,"1,199","2,785",0,0,"1353,833","0,7817333333333334",0,"226,667","1355,419","1128,752"
2024-05-21T21:15:00Z,"1,089","2,341",0,0,"1405,926","0,7403333333333333",0,"200,115","1407,178","1207,062"
2024-05-21T21:30:00Z,"0,665","1,184",0,0,"1453,92","0,6988000000000001",0,"173,292","1454,438","1281,146"
2024-05-21T21:45:00Z,"11,803","3,161",0,0,"1014,61","0,6595333333333333",0,"213,988","1005,967","791,979"
2024-05-21T22:00:00Z,"0,537","0,685",0,0,"193,37","0,65",0,"156,278","193,518","37,239"
