sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-06-16T22:15:00Z,"22,119","16,897",0,0,"216,126","0,7655333333333334",0,"173,702","210,905","37,202"
2024-06-16T22:30:00Z,"0,921","0,635",0,0,"169,44","0,76",0,"131,918","169,153","37,235"
2024-06-16T22:45:00Z,"0,585","1,163",0,0,"170,443","0,7583666666666667",0,"133,801","171,021","37,22"
2024-06-16T23:00:00Z,"1,629","1,555",0,0,"227,576","0,75",0,"192,983","227,503","34,519"
2024-06-16T23:15:00Z,"0,267","0,72",0,0,"158,773","0,7499333333333335",0,"126,419","159,225","32,806"
2024-06-16T23:30:00Z,"0,935","2,478",0,0,"184,303","0,74",0,"152,995","185,845","32,85"
2024-06-16T23:45:00Z,"0,74","0,674",0,0,"203,86","0,74",0,"170,908","203,794","32,886"
2024-06-17T00:00:00Z,"0,46","0,971",0,0,"175,41","0,7312000000000001",0,"143,022","175,92","32,897"
2024-06-17T00:15:00Z,"0,547","1,73",0,0,"183,4","0,73",0,"151,72","184,582","32,862"
2024-06-17T00:30:00Z,"0,964","0,587",0,0,"190,146","0,7231333333333333",0,"156,982","189,77","32,787"
2024-06-17T00:45:00Z,"0,267","0,61",0,0,"159,266","0,72",0,"126,825","159,609","32,783"
2024-06-17T01:00:00Z,"0,953","5,166",0,0,"209,26","0,7165",0,"180,693","213,473","32,779"
2024-06-17T01:15:00Z,"0,464","0,714",0,0,"183,22","0,71",0,"150,686","183,469","32,783"
2024-06-17T01:30:00Z,"0,442","1,245",0,0,"176,323","0,7080333333333334",0,"144,293","177,126","32,832"
2024-06-17T01:45:00Z,"1,085","1,936",0,0,"193,123","0,7000000000000001",0,"161,108","193,974","32,865"
2024-06-17T02:00:00Z,"1,06","0,681",0,0,"180,06","0,6994666666666668",0,"146,817","179,68","32,863"
2024-06-17T02:15:00Z,"0,52","1,298",0,0,"184,033","0,6900000000000001",0,"151,955","184,811","32,856"
2024-06-17T02:30:00Z,"0,312","4,86",0,0,"194,233","0,6900000000000001",0,"165,924","198,781","32,857"
2024-06-17T02:45:00Z,"0,771","0,716",0,0,"178,79","0,6806333333333333",0,"145,875","178,734","32,859"
2024-06-17T03:00:00Z,"0,682","1,448",0,0,"161,98","0,68",0,"129,871","162,746","32,874"
2024-06-17T03:15:00Z,"0,855","1,503",0,0,"206,17","0,6740666666666667",0,"173,948","206,818","32,87"
2024-06-17T03:30:00Z,"1,06","0,476",0,0,"152,666","0,67",0,"119,267","152,082","32,815"
2024-06-17T03:45:00Z,"1,298","1,03","60,036",0,"81,536","0,67",0,"108,625","141,305","32,679"
2024-06-17T04:00:00Z,"1,71","1,689","147,256","1,686","36,993","0,67",0,"149,897","182,543","32,645"
2024-06-17T04:15:00Z,"62,348","57,937","155,936","16,683","146,896","0,6617000000000001",0,"248,78","281,739","32,958"
2024-06-17T04:30:00Z,"11,741","28,221","210,186","37,67","11,146","0,66",0,"163,041","200,143","37,101"
2024-06-17T04:45:00Z,"42,017","13,863","243,316","38,016","100,33","0,66",0,"236,672","277,476","40,803"
2024-06-17T05:00:00Z,"19,795","35,051","360,696","173,73","45,523","0,66",0,"205,899","247,746","41,847"
2024-06-17T05:15:00Z,"55,345","41,676","679,92","479,026","75,986","0,6675",0,"221,319","263,211","41,892"
2024-06-17T05:30:00Z,"25,318","16,613",721,"537,62","4,973","0,6862333333333334",0,"137,812","179,648","41,836"
2024-06-17T05:45:00Z,"31,387","17,425","1018,93","838,486",0,"0,7010333333333334",0,"124,597","166,48","41,883"
2024-06-17T06:00:00Z,"28,416","31,276","1571,73","1415,55",0,"0,7304",0,"116,535","159,04","42,505"
2024-06-17T06:15:00Z,"30,774","51,008","1853,38","1014,846",0,"0,7660666666666667",0,"139,621","858,767","719,145"
2024-06-17T06:30:00Z,"3,17","2,91","1192,413","423,17",0,"0,7848666666666668",0,"119,781","768,983","649,201"
2024-06-17T06:45:00Z,"25,307","16,24","1291,533","773,76",0,"0,7992666666666668",0,"104,529","508,706","404,177"
2024-06-17T07:00:00Z,"121,193","95,89","2364,523","2160,573",0,"0,8332333333333334",0,"143,768","178,646","34,877"
2024-06-17T07:15:00Z,"116,597","135,542","2951,593","2777,62",0,"0,8962666666666668",0,"156,062","192,917","36,855"
2024-06-17T07:30:00Z,"116,972","110,235","1815,623","1652,163",0,"0,9518000000000001",0,"119,638","156,722","37,084"
2024-06-17T07:45:00Z,"2465,15","62,26","3213,79","651,28","6,983","0,9932000000000001",0,"129,471","166,602","37,131"
2024-06-17T08:00:00Z,"2449,032",0,"2618,696",0,"9,8",1,0,"142,392","179,464","37,072"
2024-06-17T08:15:00Z,"1236,237","8,29","1850,013",0,"75,79","0,9967",0,"135,623","697,856","562,233"
2024-06-17T08:30:00Z,"1715,326",0,"2959,573",0,"13,206","0,99",0,"141,371","1257,453","1116,082"
2024-06-17T08:45:00Z,"758,006",0,"2058,98",0,"10,293","0,9845333333333334",0,"127,781","1311,266","1183,485"
2024-06-17T09:00:00Z,"1312,854","0,97","2672,786",0,"14,003","0,98",0,"135,145","1374,905","1239,759"
2024-06-17T09:15:00Z,"1381,302",0,"2144,703",0,"10,17","0,98",0,"148,479","773,57","625,091"
2024-06-17T09:30:00Z,"2381,511",0,"2536,396",0,"10,026","0,98",0,"131,098","164,912","33,813"
2024-06-17T09:45:00Z,"3843,158",0,"4019,71",0,"10,22","0,98",0,"154,068","186,771","32,702"
2024-06-17T10:00:00Z,"2735,751",0,"2915,106",0,"10,066","0,98",0,"156,643","189,421","32,778"
2024-06-17T10:15:00Z,"3006,841",0,"3169,143",0,"10,14","0,98",0,"139,631","172,441","32,809"
2024-06-17T10:30:00Z,"3402,784",0,"3559,586",0,"10,073","0,98",0,"134,108","166,875","32,766"
2024-06-17T10:45:00Z,"3351,514",0,"3537,73",0,"10,17","0,98",0,"163,507","196,385","32,878"
2024-06-17T11:00:00Z,"1604,496",0,"1783,053",0,"10,03","0,98",0,"152,477","188,586","36,109"
2024-06-17T11:15:00Z,"1750,814",0,"1885,836",0,"10,096","0,98",0,"108,065","145,119","37,054"
2024-06-17T11:30:00Z,"1298,874","1,299","1487,273",0,"10,023","0,98",0,"162,679","199,721","37,042"
2024-06-17T11:45:00Z,"2278,258",0,"2440,63",0,"10,06","0,98",0,"135,232","172,431","37,199"
2024-06-17T12:00:00Z,"3473,83",0,"3621,923",0,"10,256","0,98",0,"121,042","158,349","37,306"
2024-06-17T12:15:00Z,"5034,801",0,"5243,993",0,"10,64","0,98",0,"182,277","219,831","37,554"
2024-06-17T12:30:00Z,"4465,587",0,"4627,896",0,"10,256","0,98",0,"141,388","172,566","31,177"
2024-06-17T12:45:00Z,"2386,315",0,"2517,846",0,"9,896","0,98",0,"111,023","141,428","30,405"
2024-06-17T13:00:00Z,"1147,012",0,"1318,986",0,"9,913","0,98",0,"151,602","181,887","30,284"
2024-06-17T13:15:00Z,"1708,175",0,"1853,996",0,"9,753","0,98",0,"125,255","155,574","30,318"
2024-06-17T13:30:00Z,"3016,548",0,"3174,693",0,"9,913","0,98",0,"137,585","168,058","30,473"
2024-06-17T13:45:00Z,"3420,47",0,"3596,493",0,"9,993","0,98",0,"155,495","186,016","30,52"
2024-06-17T14:00:00Z,"2121,637",0,"2278,406",0,"9,906","0,98",0,"136,268","166,675","30,406"
2024-06-17T14:15:00Z,"4068,713",0,"4218,096",0,"10,106","0,98",0,"128,926","159,489","30,563"
2024-06-17T14:30:00Z,"2723,077",0,"2902,82",0,"10,05","0,98",0,"159,263","189,792","30,528"
2024-06-17T14:45:00Z,"2785,227",0,"2937,503",0,"10,25","0,98",0,"131,952","162,525","30,573"
2024-06-17T15:00:00Z,"2235,978",0,"2356,916",0,"10,05","0,98",0,"100,454","130,988","30,533"
2024-06-17T15:15:00Z,"1878,588",0,"2083,393",0,"10,136","0,98",0,"184,327","214,941","30,613"
2024-06-17T15:30:00Z,"988,652",0,"1129,876",0,"9,82","0,98",0,"120,491","151,044","30,552"
2024-06-17T15:45:00Z,"706,508",0,"832,69",0,"9,776","0,98",0,"105,499","135,958","30,459"
2024-06-17T16:00:00Z,"797,766","1,55","967,676",0,"9,866","0,98",0,"150,806","181,327","30,52"
2024-06-17T16:15:00Z,"2019,783",0,"2179,806",0,"10,053","0,98",0,"139,525","170,076","30,551"
2024-06-17T16:30:00Z,"1991,839","3,147","2236,21",0,"10,113","0,9711333333333335",0,"227,04","257,631","30,59"
2024-06-17T16:45:00Z,"265,102","208,035","1399,633","35,166","886,003","0,9657666666666667",0,"2162,479","2193,403","30,924"
2024-06-17T17:00:00Z,"38,485","4,984","1210,41","877,56","205,046","0,9552000000000002",0,"473,95","504,395","30,444"
2024-06-17T17:15:00Z,"1184,172","10,94","2060,78","746,643","6,946","0,9938333333333335",0,"110,754","147,85","37,096"
2024-06-17T17:30:00Z,"1121,858",0,"1299,816",0,"10,123",1,0,"151,064","188,081","37,017"
2024-06-17T17:45:00Z,"1043,631",0,"1187,146",0,"10,133",1,0,"116,573","153,648","37,074"
2024-06-17T18:00:00Z,"719,137",0,"872,25",0,"10,473",1,0,"126,559","163,585","37,026"
2024-06-17T18:15:00Z,"156,69","17,431","553,3",0,"698,176","0,9857666666666667",0,"173,171","1112,217","939,046"
2024-06-17T18:30:00Z,"6,044","8,953","492,356",0,"801,986","0,9601333333333334",0,"157,299","1297,252","1139,953"
2024-06-17T18:45:00Z,"1,492","2,379","328,446",0,"976,51","0,9383333333333335",0,"131,432","1305,843","1174,41"
2024-06-17T19:00:00Z,"0,923","6,494","187,056",0,"1199,806","0,9126000000000001",0,"163,159","1392,434","1229,274"
2024-06-17T19:15:00Z,"14,293","2,066","145,033","1,99","237,406","0,8909666666666668",0,"132,731","368,223","235,491"
2024-06-17T19:30:00Z,"0,184","1,198","61,93",0,"77,92","0,89",0,"103,535","140,864","37,329"
2024-06-17T19:45:00Z,"28,131","32,651","22,3",0,"511,323","0,8843666666666667",0,"500,972","538,143","37,171"
2024-06-17T20:00:00Z,"0,529","0,88","0,37",0,"152,633","0,88",0,"116,588","153,354","36,765"
2024-06-17T20:15:00Z,"0,643","1,193",0,0,"168,826","0,8706",0,"132,591","169,376","36,785"
2024-06-17T20:30:00Z,"1,78","5,256",0,0,"241,386","0,87",0,"208,101","244,863","36,761"
2024-06-17T20:45:00Z,"0,481","1,099",0,0,"195,98","0,8608666666666668",0,"159,897","196,597","36,7"
2024-06-17T21:00:00Z,"1,15","1,426",0,0,"199,883","0,86",0,"163,41","200,159","36,749"
2024-06-17T21:15:00Z,"1,288","1,249",0,0,"216,703","0,8515333333333334",0,"179,856","216,664","36,807"
2024-06-17T21:30:00Z,"0,729","1,064",0,0,"186,123","0,85",0,"149,637","186,458","36,821"
2024-06-17T21:45:00Z,"0,692","0,831",0,0,"168,063","0,8423333333333334",0,"131,299","168,202","36,902"
2024-06-17T22:00:00Z,"1,039","2,503",0,0,"217,406","0,84",0,"181,5","218,871","37,37"
