sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-10-11T22:15:00Z,"74,669","178,408","1,793",0,"482,4","0,6605333333333334",0,"541,14","587,932","46,791"
2024-10-11T22:30:00Z,"1,142","0,951",0,0,"223,316","0,6506000000000001",0,"176,72","223,125","46,404"
2024-10-11T22:45:00Z,"1,054","2,499",0,0,"219,146","0,6495000000000001",0,"173,875","220,592","46,716"
2024-10-11T23:00:00Z,"1,415","1,202",0,0,"229,443","0,64",0,"184,215","229,23","45,015"
2024-10-11T23:15:00Z,"1,183","4,887","0,023",0,"220,24","0,6376666666666667",0,"179,437","223,967","44,529"
2024-10-11T23:30:00Z,"1,122","1,561",0,0,"215,566","0,6300000000000001",0,"171,738","216,006","44,267"
2024-10-11T23:45:00Z,"12,677","19,057","1,344",0,"266,488","0,6256313993174062",0,"194,504","274,212","79,708"
2024-10-12T00:00:00Z,"5,286","2,956",0,0,"955,976","0,6096333333333334",0,"174,33","953,646","779,316"
2024-10-12T00:15:00Z,"1,053","1,983",0,0,"975,866","0,5875333333333334",0,"196,647","976,796","780,149"
2024-10-12T00:30:00Z,"1,399","2,181",0,0,"1004,87","0,5624666666666667",0,"185,569","1005,652","820,082"
2024-10-12T00:45:00Z,"1,808","2,31",0,0,"1031,693","0,5387666666666667",0,"187,694","1032,195","844,5"
2024-10-12T01:00:00Z,"1,238","2,401",0,0,"1025,54","0,5132",0,"201,337","1026,702","825,365"
2024-10-12T01:15:00Z,"0,96","1,244",0,0,"957,123","0,4897666666666667",0,"168,2","957,407","789,207"
2024-10-12T01:30:00Z,"1,654","1,385",0,0,"937,37","0,4671333333333334",0,"193,732","937,101","743,369"
2024-10-12T01:45:00Z,"0,927","0,784",0,0,"910,16","0,4444000000000001",0,"183,081","910,017","726,935"
2024-10-12T02:00:00Z,"0,59","1,36",0,0,"910,736","0,4227",0,"182,761","911,507","728,745"
2024-10-12T02:15:00Z,"1,082","1,321",0,0,"930,273","0,40080000000000005",0,"199,076","930,512","731,436"
2024-10-12T02:30:00Z,"0,41","1,419",0,0,"899,396","0,37873333333333337",0,"163,332","900,405","737,073"
