sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-07-17T22:15:00Z,"15,407","13,39",0,0,"170,11","0,9400000000000001",0,"153,069","168,093","15,023"
2024-07-17T22:30:00Z,"1,184","0,563",0,0,"167,693","0,9400000000000001",0,"152,068","167,072","15,004"
2024-07-17T22:45:00Z,"21,842","30,292",0,0,"515,336","0,9293333333333333",0,"508,802","523,787","14,985"
2024-07-17T23:00:00Z,"1,964","5,407",0,0,"213,153","0,92",0,"204,329","216,596","12,267"
2024-07-17T23:15:00Z,"1,326","0,751",0,0,"339,816","0,9141333333333335",0,"328,546","339,242","10,695"
2024-07-17T23:30:00Z,"1,925","1,753",0,0,"206,793","0,91",0,"195,962","206,621","10,658"
2024-07-17T23:45:00Z,"0,515","0,765",0,0,"224,446","0,9012666666666668",0,"214,05","224,697","10,646"
2024-07-18T00:00:00Z,"1,134","1,36",0,0,"209,483","0,9",0,"199,043","209,708","10,665"
2024-07-18T00:15:00Z,"0,456","5,168",0,0,"149,283","0,8909333333333334",0,"143,329","153,995","10,665"
2024-07-18T00:30:00Z,"1,511","0,975",0,0,"200,783","0,89",0,"189,604","200,247","10,642"
2024-07-18T00:45:00Z,"0,271","4,05",0,0,"138,926","0,8861",0,"132,068","142,705","10,636"
2024-07-18T01:00:00Z,"0,931","1,415",0,0,177,"0,88",0,"166,843","177,484","10,64"
2024-07-18T01:15:00Z,"0,4","1,451",0,0,"159,276","0,88",0,"149,688","160,327","10,638"
2024-07-18T01:30:00Z,"1,466","1,174",0,0,"182,216","0,8717",0,"171,27","181,925","10,655"
2024-07-18T01:45:00Z,"0,568","1,301",0,0,"154,543","0,87",0,"144,648","155,275","10,627"
2024-07-18T02:00:00Z,"0,898","4,661",0,0,"183,63","0,8657000000000001",0,"176,761","187,392","10,631"
2024-07-18T02:15:00Z,"0,584","1,374",0,0,"144,96","0,86",0,"135,122","145,749","10,627"
2024-07-18T02:30:00Z,"0,776","4,117",0,0,"183,286","0,86",0,"176,004","186,628","10,623"
2024-07-18T02:45:00Z,"0,995","0,699",0,0,"145,303","0,8502666666666667",0,"134,371","145,007","10,635"
2024-07-18T03:00:00Z,"0,432","0,928",0,0,"148,316","0,85",0,"138,192","148,812","10,62"
2024-07-18T03:15:00Z,"1,936","1,31",0,0,"194,763","0,8460333333333334",0,"183,52","194,138","10,617"
2024-07-18T03:30:00Z,"0,321","0,637",0,0,"132,093","0,84",0,"121,791","132,409","10,617"
2024-07-18T03:45:00Z,"1,327","1,874",0,0,"177,096","0,84",0,"167,017","177,644","10,626"
