sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-08-01T22:15:00Z,0,"184,182",0,"15,333",0,"0,049800000000000004",0,"153,767","168,849","15,081"
2024-08-01T22:30:00Z,0,"126,585",0,"10,9",0,"0,04973333333333334",0,"100,653","115,685","15,031"
2024-08-01T22:45:00Z,0,"144,411",0,"11,32",0,"0,049800000000000004",0,"118,086","133,091","15,004"
2024-08-01T23:00:00Z,0,"162,713",0,"14,746",0,"0,04973333333333334",0,"135,69","147,967","12,276"
2024-08-01T23:15:00Z,0,"137,831",0,"16,226",0,"0,049800000000000004",0,"110,947","121,604","10,656"
2024-08-01T23:30:00Z,0,"128,692",0,0,0,"0,0499",0,"117,981","128,692","10,71"
2024-08-01T23:45:00Z,0,"156,563",0,"12,366",0,"0,0499",0,"133,507","144,197","10,689"
2024-08-02T00:00:00Z,0,"112,051",0,"14,973","0,003","0,04970000000000001",0,"86,374","97,081","10,707"
2024-08-02T00:15:00Z,0,"185,025",0,"14,706",0,"0,04976666666666667",0,"159,61","170,318","10,708"
2024-08-02T00:30:00Z,0,"122,24",0,"14,096",0,"0,04976666666666667",0,"97,431","108,143","10,711"
2024-08-02T00:45:00Z,0,"167,014",0,"14,126",0,"0,04976666666666667",0,"142,17","152,887","10,717"
2024-08-02T01:00:00Z,0,"118,276",0,0,0,"0,05",0,"107,552","118,276","10,723"
2024-08-02T01:15:00Z,0,"130,507",0,"14,113",0,"0,04970000000000001",0,"105,671","116,393","10,722"
2024-08-02T01:30:00Z,0,"162,464",0,"14,996","0,003","0,049800000000000004",0,"136,738","147,471","10,732"
2024-08-02T01:45:00Z,0,"127,279",0,"15,5",0,"0,04976666666666667",0,"101,063","111,779","10,716"
2024-08-02T02:00:00Z,0,"143,041",0,"13,64",0,"0,04970000000000001",0,"118,671","129,401","10,729"
2024-08-02T02:15:00Z,0,"131,126",0,0,0,"0,05",0,"120,376","131,126","10,749"
2024-08-02T02:30:00Z,0,"118,924",0,"10,583",0,"0,04976666666666667",0,"97,602","108,341","10,739"
2024-08-02T02:45:00Z,0,"169,957",0,"14,203",0,"0,04973333333333334",0,"144,992","155,754","10,761"
2024-08-02T03:00:00Z,0,"125,526",0,"14,36",0,"0,04970000000000001",0,"100,441","111,166","10,724"
2024-08-02T03:15:00Z,0,"140,629",0,"13,74",0,"0,04973333333333334",0,"116,156","126,889","10,733"
2024-08-02T03:30:00Z,0,"156,818",0,"22,983","0,34","0,04956666666666667",0,"123,472","134,174","10,701"
2024-08-02T03:45:00Z,0,"100,155",0,0,0,"0,05",0,"89,537","100,155","10,618"
2024-08-02T04:00:00Z,0,"159,78",0,0,0,"0,04470000000000001",0,"149,147","159,78","10,633"
2024-08-02T04:15:00Z,0,"97,605",0,0,0,"0,04",0,"86,772","97,605","10,832"
2024-08-02T04:30:00Z,0,"370,896","5,71","53,65","6,18","0,046400000000000004",0,"314,108","329,136","15,028"
2024-08-02T04:45:00Z,0,"115,885","47,973",0,"9,993","0,05",0,"158,605","173,852","15,247"
2024-08-02T05:00:00Z,"0,559","372,928","146,113","23,95","7,156","0,049833333333333334",0,"137,881","501,688","363,807"
2024-08-02T05:15:00Z,0,"1075,018","278,556","20,886","9,983","0,0499",0,"156,367","1342,672","1186,304"
2024-08-02T05:30:00Z,0,"953,217","332,04",0,"10,353","0,05",0,"218,881","1295,611","1076,729"
2024-08-02T05:45:00Z,0,"873,944","395,403","17,816","10,163","0,04986666666666667",0,"100,267","1261,694","1161,427"
2024-08-02T06:00:00Z,"2,813","684,273","513,643","107,073","8,023","0,04986666666666667",0,"167,624","1096,053","928,428"
2024-08-02T06:15:00Z,"0,979","1,838","494,17","379,933",0,"0,05186666666666667",0,"99,837","115,096","15,258"
2024-08-02T06:30:00Z,"6,515","1,089","597,42","418,72",0,"0,0608",0,"158,03","173,273","15,242"
2024-08-02T06:45:00Z,"3,924","0,339","846,156","717,14",0,"0,07476666666666668",0,"110,203","125,432","15,228"
2024-08-02T07:00:00Z,"9,949","5,73","1307,64","1165,133",0,"0,09753333333333335",0,"123,041","138,288","15,246"
2024-08-02T07:15:00Z,"16,612","15,449","1434,986","1273,686",0,"0,12703333333333336",0,"144,811","160,137","15,325"
2024-08-02T07:30:00Z,"30,158","20,291","2664,773","2513,993",0,"0,1691",0,"125,57","140,912","15,342"
2024-08-02T07:45:00Z,"28,698","44,379","3114,356","2983,65",0,"0,2389666666666667",0,"131,074","146,388","15,313"
2024-08-02T08:00:00Z,"27,549","32,259","1704,576","1554,293",0,"0,29563333333333336",0,"139,845","154,992","15,146"
2024-08-02T08:15:00Z,"20,016","21,121","1354,553","1238,436",0,"0,3250333333333334",0,"102,058","117,221","15,162"
2024-08-02T08:30:00Z,"14,841","6,446","1540,65","1351,223",0,"0,3547666666666667",0,"165,699","181,032","15,332"
2024-08-02T08:45:00Z,"22,844","26,658","2770,103","2650,97",0,"0,4045",0,"107,638","122,948","15,309"
2024-08-02T09:00:00Z,"40,85","18,384","3356,756","3183,87",0,"0,4674666666666667",0,"135,125","150,42","15,294"
2024-08-02T09:15:00Z,"27,642","44,852","3546,953","3410,82",0,"0,5526666666666668",0,"138,019","153,343","15,323"
2024-08-02T09:30:00Z,"46,836","38,538","2615,166","2489,923",0,"0,6204666666666667",0,"104,915","116,945","12,029"
2024-08-02T09:45:00Z,"3,229","9,737","1974,663","1810,096",0,"0,6749666666666667",0,"160,265","171,074","10,808"
2024-08-02T10:00:00Z,"6,184","3,22","1898,333","1777,533",0,"0,7165",0,"106,016","117,836","11,82"
2024-08-02T10:15:00Z,"2,792","6,263","1674,07","1532,093",0,"0,7566333333333334",0,"134,615","145,447","10,832"
2024-08-02T10:30:00Z,"21,306","16,67","1735,45","1588,083",0,"0,7926666666666666",0,"131,917","142,731","10,813"
2024-08-02T10:45:00Z,"4,227","3,042","1979,623","1844,973",0,"0,8340000000000001",0,"122,634","133,465","10,83"
2024-08-02T11:00:00Z,"2,565","3,897","1689,05","1528,59",0,"0,8753000000000001",0,"147,727","161,792","14,064"
2024-08-02T11:15:00Z,"5,85","1,217","2058,84","1914,023",0,"0,9165000000000001",0,"124,785","140,183","15,398"
2024-08-02T11:30:00Z,"1492,877","6,547","2918,843","1313,516","4,596","0,9722333333333335",0,"108,094","123,594","15,499"
2024-08-02T11:45:00Z,"2950,785",0,"3131,676",0,"9,48",1,0,"174,867","190,371","15,503"
2024-08-02T12:00:00Z,"2747,99",0,"2881,01",0,"9,253",1,0,"126,791","142,273","15,481"
2024-08-02T12:15:00Z,"3182,724",0,"3376,33",0,"9,83",1,0,"187,942","203,436","15,493"
2024-08-02T12:30:00Z,"3283,587",0,"3411,49",0,"9,826",1,0,"122,253","137,729","15,475"
2024-08-02T12:45:00Z,"3598,168",0,"3766,916",0,"9,83",1,0,"163,018","178,578","15,559"
2024-08-02T13:00:00Z,"1436,007",0,"1599,39",0,"9,14",1,0,"157,026","172,522","15,495"
2024-08-02T13:15:00Z,"3404,526",0,"3545,783",0,"9,863",1,0,"135,436","151,119","15,683"
2024-08-02T13:30:00Z,"3550,251",0,"3716,313",0,"9,673",1,0,160,"175,734","15,734"
2024-08-02T13:45:00Z,"3634,716",0,"3799,456",0,"9,59",1,0,"158,712","174,33","15,618"
2024-08-02T14:00:00Z,"3658,718",0,"3793,05",0,"9,703",1,0,"128,423","144,034","15,61"
