sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-06-02T22:15:00Z,"12,376","12,92",0,0,"161,75","0,92",0,"121,915","162,294","40,378"
2024-06-02T22:30:00Z,"0,183","0,754",0,0,"161,113","0,9131666666666668",0,"121,328","161,684","40,356"
2024-06-02T22:45:00Z,"0,895","5,764",0,0,"188,03","0,91",0,"152,564","192,899","40,334"
2024-06-02T23:00:00Z,"0,751","0,516",0,0,"213,246","0,9044666666666668",0,"175,469","213,011","37,542"
2024-06-02T23:15:00Z,"0,439","1,295",0,0,"166,57","0,9",0,"131,467","167,426","35,958"
2024-06-02T23:30:00Z,"0,671","0,69",0,0,"169,953","0,8968333333333334",0,"134,001","169,972","35,971"
2024-06-02T23:45:00Z,"0,244","1,723",0,0,"161,69","0,89",0,"127,165","163,169","36,003"
2024-06-03T00:00:00Z,"1,539","1,088",0,0,"234,223","0,8883666666666667",0,"197,683","233,772","36,088"
2024-06-03T00:15:00Z,"0,274","0,69",0,0,"156,536","0,88",0,"120,847","156,952","36,105"
2024-06-03T00:30:00Z,"0,336","1,058",0,0,"168,11","0,88",0,"132,737","168,831","36,094"
2024-06-03T00:45:00Z,"0,584","1,394",0,0,"173,163","0,8727333333333335",0,"137,865","173,973","36,107"
2024-06-03T01:00:00Z,"0,437","0,813",0,0,"210,14","0,87",0,"174,418","210,516","36,097"
2024-06-03T01:15:00Z,"4,624","10,721",0,0,"882,323","0,8570333333333333",0,"160,268","888,42","728,151"
2024-06-03T01:30:00Z,"0,287","0,959",0,0,"800,1","0,8345",0,"136,58","800,771","664,19"
2024-06-03T01:45:00Z,"0,558","1,633",0,0,"837,533","0,8136333333333334",0,"154,551","838,608","684,056"
2024-06-03T02:00:00Z,"1,172","0,823",0,0,"902,083","0,7922333333333335",0,"202,264","901,734","699,469"
2024-06-03T02:15:00Z,"0,327","0,901",0,0,"849,99","0,7713333333333334",0,"139,313","850,563","711,249"
2024-06-03T02:30:00Z,"0,976","1,375",0,0,"881,43","0,7504666666666667",0,"160,876","881,829","720,953"
2024-06-03T02:45:00Z,"6,32","2,657",0,0,"539,08","0,7323666666666666",0,"140,709","535,416","394,707"
2024-06-03T03:00:00Z,"0,897","1,312",0,0,"234,566","0,7233666666666667",0,"194,807","234,981","40,174"
2024-06-03T03:15:00Z,"0,449","0,654",0,0,"172,563","0,72",0,"132,541","172,767","40,226"
2024-06-03T03:30:00Z,"0,325","0,52",0,0,"151,773","0,7154333333333334",0,"111,765","151,968","40,203"
2024-06-03T03:45:00Z,"0,979","1,576","13,4",0,"148,46","0,71",0,"122,277","162,456","40,179"
2024-06-03T04:00:00Z,"1,049","0,482","43,153",0,"151,35","0,71",0,"153,913","193,936","40,023"
2024-06-03T04:15:00Z,"0,629","1,231","75,136",0,"68,34","0,71",0,"108,093","144,079","35,985"
2024-06-03T04:30:00Z,"1,596","0,819","123,9","2,05","26,55","0,71",0,"107,279","147,622","40,342"
2024-06-03T04:45:00Z,"1,085","0,175","184,87","46,34",0,"0,71",0,"97,183","137,619","40,436"
2024-06-03T05:00:00Z,"2,887","0,79","263,49","68,696","0,096","0,71",0,"152,386","192,793","40,406"
2024-06-03T05:15:00Z,"1,636","0,736","364,02","207,92",0,"0,71",0,"114,751","155,2","40,448"
2024-06-03T05:30:00Z,"2,532","14,219","423,906","125,166","529,6","0,7084333333333334",0,"106,41","840,026","733,616"
2024-06-03T05:45:00Z,"1,708","1,18","477,79",0,"1016,453","0,6891666666666667",0,"104,637","1493,715","1389,078"
2024-06-03T06:00:00Z,"1,931","6,604","482,13",0,"1167,466","0,6632333333333333",0,"187,09","1654,269","1467,179"
2024-06-03T06:15:00Z,"13,238","1,656","536,643","74,073","822,356","0,6369666666666668",0,"104,699","1273,344","1168,645"
2024-06-03T06:30:00Z,"0,96","0,722","520,693","377,976",0,"0,6350000000000001",0,"102,154","142,479","40,324"
2024-06-03T06:45:00Z,"1,763","0,475","582,123","427,776",0,"0,6444333333333334",0,"112,709","153,059","40,349"
2024-06-03T07:00:00Z,"12,367","4,632","563,713","359,18","6,533","0,6594",0,"161,811","203,331","41,52"
2024-06-03T07:15:00Z,"2,503","0,938","613,13","445,33",0,"0,6677666666666667",0,"123,359","166,235","42,875"
2024-06-03T07:30:00Z,"2,169","0,205","810,906","666,27",0,"0,6863000000000001",0,"99,706","142,672","42,965"
2024-06-03T07:45:00Z,"5,856","2,51","1268,463","1117,136",0,"0,7089333333333333",0,"105,037","147,98","42,943"
2024-06-03T08:00:00Z,"1,943","3,118","1227,656","1015,386",0,"0,7351000000000001",0,"171,136","213,444","42,308"
2024-06-03T08:15:00Z,"1,705","1,712","1168,003","1030,856",0,"0,7592333333333333",0,"96,428","137,154","40,725"
2024-06-03T08:30:00Z,"1,052","2,696","998,483","840,863",0,"0,7815666666666666",0,"118,602","159,263","40,661"
2024-06-03T08:45:00Z,"1,251","0,489","882,983","745,48",0,"0,8022",0,"96,17","136,741","40,57"
2024-06-03T09:00:00Z,"3,879","1,834","1037,826","842,216",0,"0,8226333333333333",0,"153,079","193,564","40,484"
2024-06-03T09:15:00Z,"1,386","2,772","940,603","790,02",0,"0,8441666666666667",0,"114,671","151,968","37,297"
2024-06-03T09:30:00Z,"3,866","0,978","1071,116","938,99",0,"0,8656666666666668",0,"95,266","129,238","33,972"
2024-06-03T09:45:00Z,"2,107","2,167","1075,063","926,37",0,"0,8883666666666667",0,"115,986","148,753","32,767"
2024-06-03T10:00:00Z,"13,453","5,248","1074,09","888,366","1,006","0,9097",0,"145,635","178,524","32,889"
2024-06-03T10:15:00Z,"2,987","1,93","1030,453","891,35",0,"0,9303333333333335",0,"105,189","138,046","32,856"
2024-06-03T10:30:00Z,"3,73","0,967","1154,946","1007,566",0,"0,9522333333333335",0,"111,674","144,617","32,943"
2024-06-03T10:45:00Z,"14,238","1,63","1793,486","1654,95",0,"0,9817666666666668",0,"93,023","125,928","32,904"
2024-06-03T11:00:00Z,"1388,195",0,"1588,593","0,176","10,003",1,0,"174,199","210,224","36,024"
2024-06-03T11:15:00Z,"1250,546",0,"1389,44",0,"10,053",1,0,"111,659","148,946","37,286"
2024-06-03T11:30:00Z,"1324,743",0,"1459,05",0,"10,043",1,0,"107,077","144,35","37,272"
2024-06-03T11:45:00Z,"1452,993",0,"1601,063",0,"10,146",1,0,"120,953","158,216","37,263"
2024-06-03T12:00:00Z,"1418,474",0,"1596,876",0,"10,363",1,0,"151,442","188,765","37,323"
2024-06-03T12:15:00Z,"2440,858",0,"2608,07",0,"10,65",1,0,"140,495","177,861","37,365"
2024-06-03T12:30:00Z,"1796,773",0,"1932,083",0,"10,35",1,0,"108,483","145,66","37,176"
2024-06-03T12:45:00Z,"1409,507",0,"1546,076",0,"10,276",1,0,"109,627","146,845","37,218"
2024-06-03T13:00:00Z,"1126,247",0,"1312,1",0,"10,18",1,0,"158,797","196,032","37,235"
2024-06-03T13:15:00Z,"1247,55",0,"1391,626",0,"10,12",1,0,"116,844","154,196","37,351"
2024-06-03T13:30:00Z,"1607,386",0,"1736,593",0,"10,596",1,0,"102,347","139,803","37,456"
2024-06-03T13:45:00Z,"1980,462",0,"2133,966",0,"10,726",1,0,"126,693","164,23","37,537"
2024-06-03T14:00:00Z,"1950,712",0,"2130,06",0,"10,803",1,0,"152,587","190,15","37,563"
2024-06-03T14:15:00Z,"2042,818",0,"2197,866",0,"10,706",1,0,"128,201","165,754","37,552"
2024-06-03T14:30:00Z,"1817,87",0,"1974,896",0,"10,796",1,0,"130,234","167,823","37,588"
2024-06-03T14:45:00Z,"1380,1",0,"1512,883",0,"10,313","0,9942333333333335",0,"105,619","143,096","37,477"
2024-06-03T15:00:00Z,"1023,658",0,"1195,61",0,"10,076","0,99",0,"144,543","182,028","37,484"
2024-06-03T15:15:00Z,"1241,85",0,"1402,17",0,"10,203","0,99",0,"135,848","170,522","34,674"
2024-06-03T15:30:00Z,"346,099","5,47","1367,02","0,046","161,193","0,9883333333333334",0,"103,157","1187,537","1084,38"
2024-06-03T15:45:00Z,"2,097","4,451","1079,653",0,"344,433","0,9793666666666667",0,"122,191","1426,44","1304,248"
2024-06-03T16:00:00Z,"0,133","4,084","768,146",0,"718,323","0,9630666666666667",0,"133,824","1490,421","1356,596"
2024-06-03T16:15:00Z,"15,111","2,751","576,596","148,233","556,84","0,9434333333333333",0,"131,519","972,842","841,323"
2024-06-03T16:30:00Z,"0,811","0,911","521,923","377,496",0,"0,9474000000000001",0,"108,026","144,526","36,5"
2024-06-03T16:45:00Z,"1,064","0,464","497,96","366,916",0,"0,9549666666666667",0,"93,965","130,443","36,477"
2024-06-03T17:00:00Z,"1,224","2,208","483,633","299,803",0,"0,9614666666666668",0,"148,311","184,814","36,503"
2024-06-03T17:15:00Z,"1,141","0,361","439,316","283,056",0,"0,97",0,"119,041","155,48","36,438"
2024-06-03T17:30:00Z,"2,127","0,873","505,176","366,37",0,"0,9752000000000002",0,"100,243","137,552","37,309"
2024-06-03T17:45:00Z,"0,687","0,96","431,72","285,8",0,"0,9814666666666668",0,"108,91","146,192","37,281"
2024-06-03T18:00:00Z,"106,381","0,127","301,196","42,1","8,836","0,9983666666666667",0,"124,417","161,679","37,262"
2024-06-03T18:15:00Z,"11,898","1,453","170,17","0,006","21,093",1,0,"143,633","180,812","37,178"
2024-06-03T18:30:00Z,"4,415","1,18","88,64",0,"45,366",1,0,"93,524","130,772","37,247"
2024-06-03T18:45:00Z,"0,573","1,517","34,103",0,"100,976",1,0,"99,028","136,023","36,994"
2024-06-03T19:00:00Z,"0,743","1,412","5,246",0,"168,073","0,9972333333333334",0,"136,993","173,988","36,995"
2024-06-03T19:15:00Z,"1,128","0,729",0,0,"167,516","0,9890000000000001",0,"129,969","167,117","37,147"
2024-06-03T19:30:00Z,"0,849","1,394",0,0,"174,78","0,98",0,"135,558","175,324","39,765"
2024-06-03T19:45:00Z,"0,207","0,772",0,0,"160,26","0,98",0,"120,157","160,825","40,668"
2024-06-03T20:00:00Z,"0,333","1,565",0,0,"188,476","0,9739333333333334",0,"149,202","189,709","40,506"
2024-06-03T20:15:00Z,"1,061","1,212",0,0,"196,306","0,97",0,"156,282","196,457","40,175"
2024-06-03T20:30:00Z,"0,662","0,613",0,0,"183,586","0,9643333333333334",0,"143,4","183,537","40,136"
2024-06-03T20:45:00Z,"0,271","0,682",0,0,"159,81","0,96",0,"120,077","160,221","40,144"
2024-06-03T21:00:00Z,"0,622","2,142",0,0,"205,823","0,9576000000000001",0,"167,19","207,343","40,152"
2024-06-03T21:15:00Z,"1,582","3,215",0,0,"227,97","0,9500000000000001",0,"189,4","229,602","40,202"
2024-06-03T21:30:00Z,"2,294","1,228",0,0,"322,326","0,9445",0,"280,993","321,26","40,267"
2024-06-03T21:45:00Z,"0,603","0,73",0,0,"182,3","0,9400000000000001",0,"142,152","182,426","40,274"
2024-06-03T22:00:00Z,"0,446","0,806",0,0,"169,59","0,9345666666666668",0,"126,328","169,949","43,621"
