sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-01-17T23:15:00Z,0,"857,233",0,"427,969","0,442","0,038288288288288286",0,"415,706","429,706",14
2024-01-17T23:30:00Z,0,"429,94","0,049",0,"0,676","0,04",0,"416,667","430,667",14
2024-01-17T23:45:00Z,0,"391,318",0,0,0,"0,04",0,"377,318","391,318",14
2024-01-18T00:00:00Z,0,"335,311",0,0,0,"0,04",0,"321,311","335,311",14
2024-01-18T00:15:00Z,0,"353,904",0,0,0,"0,04",0,"343,731","353,904","10,173"
2024-01-18T00:30:00Z,0,"409,845",0,0,0,"0,04",0,"401,845","409,845",8
2024-01-18T00:45:00Z,0,"405,083",0,0,0,"0,04",0,"397,083","405,083",8
2024-01-18T01:00:00Z,0,"337,669",0,0,0,"0,04",0,"329,669","337,669","7,999"
2024-01-18T01:15:00Z,0,"393,59",0,0,0,"0,04",0,"362,953","393,59","30,636"
2024-01-18T01:30:00Z,0,"719,765",0,0,0,"0,04",0,"496,554","719,765","223,21"
2024-01-18T01:45:00Z,0,"2624,49",0,0,0,"0,04",0,"513,828","2624,49","2110,661"
2024-01-18T02:00:00Z,0,"1843,325",0,0,0,"0,04",0,"436,824","1843,325","1406,501"
2024-01-18T02:15:00Z,0,"2227,075",0,0,0,"0,04",0,"431,976","2227,075","1795,099"
2024-01-18T02:30:00Z,0,"2033,678",0,0,0,"0,04",0,"395,461","2033,678","1638,217"
2024-01-18T02:45:00Z,0,"2169,619",0,0,0,"0,04",0,"475,152","2169,619","1694,467"
2024-01-18T03:00:00Z,0,"2150,296",0,0,0,"0,04",0,"470,605","2150,296","1679,691"
2024-01-18T03:15:00Z,0,"2770,156",0,0,0,"0,04",0,"726,591","2770,156","2043,565"
2024-01-18T03:30:00Z,0,"3529,617",0,0,0,"0,04",0,"433,395","3529,617","3096,222"
2024-01-18T03:45:00Z,0,"1886,01",0,0,0,"0,04",0,"362,136","1886,01","1523,873"
2024-01-18T04:00:00Z,0,"1917,65",0,0,0,"0,04",0,"443,962","1917,65","1473,687"
2024-01-18T04:15:00Z,0,"2041,073",0,0,0,"0,04",0,"469,71","2041,073","1571,362"
2024-01-18T04:30:00Z,0,"2019,203",0,0,0,"0,04",0,"433,085","2019,203","1586,117"
2024-01-18T04:45:00Z,0,"3386,14",0,0,0,"0,04",0,"538,992","3386,14","2847,147"
2024-01-18T05:00:00Z,0,"2708,005",0,0,0,"0,039999999999999994",0,"391,09","2708,005","2316,914"
2024-01-18T05:15:00Z,0,"3396,993",0,0,0,"0,04",0,"833,091","3396,993","2563,902"
2024-01-18T05:30:00Z,0,"6040,187",0,0,0,"0,04",0,"860,606","6040,187","5179,581"
2024-01-18T05:45:00Z,0,"4496,495",0,0,0,"0,04",0,"575,706","4496,495","3920,788"
2024-01-18T06:00:00Z,0,"4082,732",0,0,0,"0,04",0,"534,977","4082,732","3547,755"
2024-01-18T06:15:00Z,0,"2818,175",0,0,0,"0,04",0,"553,706","2818,175","2264,468"
2024-01-18T06:30:00Z,0,"3991,905",0,0,0,"0,03782511210762332",0,"764,461","3991,905","3227,443"
2024-01-18T06:45:00Z,0,"1148,063",0,0,0,"0,03",0,"542,884","1148,063","605,178"
2024-01-18T07:00:00Z,0,"2937,339",0,0,0,"0,030000000000000006",0,"839,409","2937,339","2097,93"
2024-01-18T07:15:00Z,0,"4579,565",0,0,0,"0,03",0,"804,321","4579,565","3775,243"
