,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung,battery_soc,battery_charge,battery_discharge,grid_export,pv_excess,grid_import,eigenverbrauch
2016-01-01 00:00:00,0.3869592698049142,0.0,-0.3869592698049142,0.3869592698049142,0.0,0.0,4.596917427286548,0.0,0.40308257271345227,0.0,0.0,0.0,0.3869592698049142
2016-01-01 01:00:00,0.278753051912917,0.0,-0.278753051912917,0.278753051912917,0.0,0.0,4.306549664877259,0.0,0.2903677624092885,0.0,0.0,0.0,0.278753051912917
2016-01-01 02:00:00,0.2231668784683969,0.0,-0.2231668784683969,0.2231668784683969,0.0,0.0,4.074084166472679,0.0,0.2324654984045801,0.0,0.0,0.0,0.2231668784683969
2016-01-01 03:00:00,0.2036224947913509,0.0,-0.2036224947913509,0.2036224947913509,0.0,0.0,3.861977401065022,0.0,0.2121067654076572,0.0,0.0,0.0,0.2036224947913509
2016-01-01 04:00:00,0.1918008510592592,0.0,-0.1918008510592592,0.1918008510592592,0.0,0.0,3.6621848478782937,0.0,0.19979255318672834,0.0,0.0,0.0,0.1918008510592592
2016-01-01 05:00:00,0.1912694696407294,0.0,-0.1912694696407294,0.1912694696407294,0.0,0.0,3.462945817002534,0.0,0.1992390308757598,0.0,0.0,0.0,0.1912694696407294
2016-01-01 06:00:00,0.2028726890652216,0.0,-0.2028726890652216,0.2028726890652216,0.0,0.0,3.2516200992262614,0.0,0.21132571777627251,0.0,0.0,0.0,0.2028726890652216
2016-01-01 07:00:00,0.2476152989488375,0.0,-0.2476152989488375,0.2476152989488375,0.0,0.0,2.9936874961545556,0.0,0.25793260307170573,0.0,0.0,0.0,0.2476152989488375
2016-01-01 08:00:00,0.4385461248597795,0.0745,-0.3640461248597795,0.3640461248597795,0.0,0.0,2.614472782758952,0.0,0.37921471339560364,0.0,0.0,0.0,0.4385461248597795
2016-01-01 09:00:00,0.6861257663667415,0.4455,-0.2406257663667415,0.2406257663667415,0.0,0.0,2.363820942793596,0.0,0.2506518399653557,0.0,0.0,0.0,0.6861257663667415
2016-01-01 10:00:00,0.8628926323610779,2.0376,1.174707367638922,0.0,0.8628926323610779,1.174707367638922,3.491540015726961,1.127719072933365,0.0,0.0,0.0,0.0,0.8628926323610779
2016-01-01 11:00:00,1.0047038321463373,0.3317,-0.6730038321463373,0.6730038321463373,0.0,0.0,2.790494357241193,0.0,0.701045658485768,0.0,0.0,0.0,1.0047038321463373
2016-01-01 12:00:00,1.0241947618614176,0.2583,-0.7658947618614176,0.7658947618614176,0.0,0.0,1.9926873136355496,0.0,0.7978070436056434,0.0,0.0,0.0,1.0241947618614176
2016-01-01 13:00:00,0.8573684287426282,0.0,-0.8573684287426282,0.8573684287426282,0.0,0.0,1.0995952003619784,0.0,0.8930921132735711,0.0,0.0,0.0,0.8573684287426282
2016-01-01 14:00:00,0.6745632319130901,0.4183,-0.2562632319130901,0.2562632319130901,0.0,0.0,1.0,0.0,0.09959520036197844,0.0,0.0,0.1606518395655908,0.5139113923474993
2016-01-01 15:00:00,0.5778681942830667,0.0,-0.5778681942830667,0.5778681942830667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5778681942830667,0.0
2016-01-01 16:00:00,0.5288398167076855,0.0,-0.5288398167076855,0.5288398167076855,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5288398167076855,0.0
2016-01-01 17:00:00,0.6230527603181126,0.0,-0.6230527603181126,0.6230527603181126,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6230527603181126,0.0
2016-01-01 18:00:00,0.7753233489748015,0.0,-0.7753233489748015,0.7753233489748015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7753233489748015,0.0
2016-01-01 19:00:00,0.8739261998055705,0.0,-0.8739261998055705,0.8739261998055705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8739261998055705,0.0
2016-01-01 20:00:00,0.793818037703907,0.0,-0.793818037703907,0.793818037703907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.793818037703907,0.0
2016-01-01 21:00:00,0.6720040720273688,0.0,-0.6720040720273688,0.6720040720273688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6720040720273688,0.0
2016-01-01 22:00:00,0.5690145875648751,0.0,-0.5690145875648751,0.5690145875648751,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5690145875648751,0.0
2016-01-01 23:00:00,0.4196979866902027,0.0,-0.4196979866902027,0.4196979866902027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4196979866902027,0.0
2016-01-02 00:00:00,0.3324484155428053,0.0,-0.3324484155428053,0.3324484155428053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3324484155428053,0.0
2016-01-02 01:00:00,0.2621969571611947,0.0,-0.2621969571611947,0.2621969571611947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2621969571611947,0.0
2016-01-02 02:00:00,0.2087994357604841,0.0,-0.2087994357604841,0.2087994357604841,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2087994357604841,0.0
2016-01-02 03:00:00,0.1969092678298532,0.0,-0.1969092678298532,0.1969092678298532,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1969092678298532,0.0
2016-01-02 04:00:00,0.1907713675449029,0.0,-0.1907713675449029,0.1907713675449029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1907713675449029,0.0
