,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung
2016-02-03 18:00:00,0.8245159970356897,0.0,-0.8245159970356897,0.8245159970356897,0.0,0.0
2016-02-03 19:00:00,0.9281079588040719,0.0,-0.9281079588040719,0.9281079588040719,0.0,0.0
2016-02-03 20:00:00,0.8345979293830822,0.0,-0.8345979293830822,0.8345979293830822,0.0,0.0
2016-02-03 21:00:00,0.6992800171227702,0.0,-0.6992800171227702,0.6992800171227702,0.0,0.0
2016-02-03 22:00:00,0.5787089700410741,0.0,-0.5787089700410741,0.5787089700410741,0.0,0.0
2016-02-03 23:00:00,0.42849036666995,0.0,-0.42849036666995,0.42849036666995,0.0,0.0
2016-02-04 00:00:00,0.28919916829806414,0.0,-0.28919916829806414,0.28919916829806414,0.0,0.0
2016-02-04 01:00:00,0.21399844939080975,0.0,-0.21399844939080975,0.21399844939080975,0.0,0.0
2016-02-04 02:00:00,0.19613372685367603,0.0,-0.19613372685367603,0.19613372685367603,0.0,0.0
2016-02-04 03:00:00,0.19096573805618633,0.0,-0.19096573805618633,0.19096573805618633,0.0,0.0
2016-02-04 04:00:00,0.19402950188676957,0.0,-0.19402950188676957,0.19402950188676957,0.0,0.0
2016-02-04 05:00:00,0.23224703858607604,0.0,-0.23224703858607604,0.23224703858607604,0.0,0.0
2016-02-04 06:00:00,0.4466686529422371,0.0,-0.4466686529422371,0.4466686529422371,0.0,0.0
2016-02-04 07:00:00,0.6416833433242156,0.0,-0.6416833433242156,0.6416833433242156,0.0,0.0
2016-02-04 08:00:00,0.6618252648907522,0.1197,-0.5421252648907522,0.5421252648907522,0.0,0.0
2016-02-04 09:00:00,0.6108284214860294,0.3251,-0.28572842148602945,0.28572842148602945,0.0,0.0
2016-02-04 10:00:00,0.5760460542786555,0.3685,-0.20754605427865552,0.20754605427865552,0.0,0.0
2016-02-04 11:00:00,0.5864722718785175,0.2812,-0.30527227187851746,0.30527227187851746,0.0,0.0
2016-02-04 12:00:00,0.6478489910918039,0.3588,-0.28904899109180393,0.28904899109180393,0.0,0.0
2016-02-04 13:00:00,0.6418163783903741,0.6942999999999999,0.05248362160962583,0.0,0.6418163783903741,0.05248362160962583
2016-02-04 14:00:00,0.5716553244928464,0.32289999999999996,-0.24875532449284643,0.24875532449284643,0.0,0.0
2016-02-04 15:00:00,0.5194410916653526,0.6701,0.15065890833464746,0.0,0.5194410916653526,0.15065890833464746
2016-02-04 16:00:00,0.5213439820648114,0.0,-0.5213439820648114,0.5213439820648114,0.0,0.0
