sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh)
2024-01-12T23:15:00Z,0,"396,692",0,0,0,"0,08",0,"396,692","396,692"
2024-01-12T23:30:00Z,0,"373,592",0,0,0,"0,08",0,"373,592","373,592"
2024-01-12T23:45:00Z,0,"304,62",0,0,0,"0,08",0,"304,62","304,62"
2024-01-13T00:00:00Z,0,"322,911",0,0,0,"0,08",0,"322,911","322,911"
2024-01-13T00:15:00Z,0,"322,391",0,0,0,"0,08",0,"322,391","322,391"
2024-01-13T00:30:00Z,0,"160,096",0,0,0,"0,08",0,"160,096","160,096"
2024-01-13T00:45:00Z,0,"165,457",0,0,0,"0,08",0,"165,457","165,457"
2024-01-13T01:00:00Z,0,"211,631",0,0,0,"0,08",0,"211,631","211,631"
2024-01-13T01:15:00Z,0,"196,297",0,0,0,"0,08",0,"196,297","196,297"
2024-01-13T01:30:00Z,0,"147,35",0,0,0,"0,08",0,"147,35","147,35"
2024-01-13T01:45:00Z,0,"173,82",0,0,0,"0,08",0,"173,82","173,82"
2024-01-13T02:00:00Z,0,"156,785",0,0,0,"0,08",0,"156,785","156,785"
2024-01-13T02:15:00Z,0,"169,618",0,0,0,"0,08",0,"169,618","169,618"
2024-01-13T02:30:00Z,0,"162,333",0,0,0,"0,08",0,"162,333","162,333"
2024-01-13T02:45:00Z,0,"123,334",0,0,0,"0,08",0,"123,334","123,334"
2024-01-13T03:00:00Z,0,"194,497",0,0,0,"0,08",0,"194,497","194,497"
2024-01-13T03:15:00Z,0,"242,797",0,0,0,"0,08",0,"242,797","242,797"
2024-01-13T03:30:00Z,0,"111,376",0,0,0,"0,08",0,"111,376","111,376"
2024-01-13T03:45:00Z,0,"142,134",0,0,0,"0,08",0,"142,134","142,134"
2024-01-13T04:00:00Z,0,"187,629",0,0,0,"0,08",0,"187,629","187,629"
2024-01-13T04:15:00Z,0,"153,081",0,0,0,"0,08",0,"153,081","153,081"
2024-01-13T04:30:00Z,0,"142,238",0,0,0,"0,08",0,"142,238","142,238"
2024-01-13T04:45:00Z,0,"162,816",0,0,0,"0,08",0,"162,816","162,816"
2024-01-13T05:00:00Z,0,"195,559",0,0,0,"0,08",0,"195,559","195,559"
2024-01-13T05:15:00Z,0,"228,019",0,0,0,"0,08",0,"228,019","228,019"
2024-01-13T05:30:00Z,0,"213,068",0,0,0,"0,08",0,"213,068","213,068"
2024-01-13T05:45:00Z,0,"144,514",0,0,0,"0,08",0,"144,514","144,514"
2024-01-13T06:00:00Z,0,"157,914",0,0,0,"0,08",0,"157,914","157,914"
2024-01-13T06:15:00Z,0,"183,299",0,0,0,"0,08",0,"183,299","183,299"
2024-01-13T06:30:00Z,0,"158,415",0,0,0,"0,08",0,"158,415","158,415"
2024-01-13T06:45:00Z,0,"158,504",0,0,0,"0,08",0,"158,504","158,504"
2024-01-13T07:00:00Z,0,"244,76",0,0,0,"0,08",0,"244,76","244,76"
2024-01-13T07:15:00Z,0,"185,489",0,0,0,"0,08",0,"185,489","185,489"
2024-01-13T07:30:00Z,0,"166,896",0,0,0,"0,08",0,"166,896","166,896"
2024-01-13T07:45:00Z,0,"254,694",0,0,0,"0,08",0,"254,694","254,694"
2024-01-13T08:00:00Z,0,"178,61",0,0,0,"0,08",0,"178,61","178,61"
2024-01-13T08:15:00Z,0,"149,923",0,0,0,"0,08",0,"149,923","149,923"
2024-01-13T08:30:00Z,0,"167,818",0,0,0,"0,08",0,"167,818","167,818"
2024-01-13T08:45:00Z,"0,732","103,208","25,523","0,066","0,543","0,08",0,"128,476","128,476"
2024-01-13T09:00:00Z,"0,808","218,688","19,725",0,"3,819","0,08",0,"241,425","241,425"
2024-01-13T09:15:00Z,"0,152","179,208","43,661",0,"4,315","0,08",0,"227,032","227,032"
2024-01-13T09:30:00Z,"0,009","19,67","116,354",0,"4,652","0,08",0,"140,667","140,667"
2024-01-13T09:45:00Z,"15,796","7,971","140,342",0,"4,993","0,08",0,"137,509","137,509"
2024-01-13T10:00:00Z,"18,357","51,432","170,69",0,"4,983","0,08",0,"208,748","208,748"
2024-01-13T10:15:00Z,"0,097","116,458","132,624",0,"5,02","0,08",0,"254,005","254,005"
2024-01-13T10:30:00Z,"0,962","103,044","167,885",0,"5,14","0,08",0,"275,109","275,109"
2024-01-13T10:45:00Z,0,"134,723","170,976",0,"5,245","0,08",0,"310,946","310,946"
2024-01-13T11:00:00Z,0,"435,197","182,006",0,"5,054","0,08",0,"622,258","622,258"
2024-01-13T11:15:00Z,0,"134,833","175,358",0,"5,166","0,08",0,"315,358","315,358"
2024-01-13T11:30:00Z,0,"155,521","161,763",0,"5,74","0,08",0,"323,024","323,024"
2024-01-13T11:45:00Z,0,"115,112","166,885",0,"5,657","0,08",0,"287,655","287,655"
2024-01-13T12:00:00Z,0,"185,897","134,233",0,"5,833","0,08",0,"325,964","325,964"
2024-01-13T12:15:00Z,0,"181,649","144,6",0,"6,003","0,08",0,"332,253","332,253"
2024-01-13T12:30:00Z,0,"147,461","104,113",0,"5,98","0,08",0,"257,554","257,554"
2024-01-13T12:45:00Z,0,"150,593","123,767",0,6,"0,08",0,"280,36","280,36"
2024-01-13T13:00:00Z,0,"299,999","92,24",0,"5,966","0,08",0,"398,206","398,206"
2024-01-13T13:15:00Z,0,"296,616","9,438",0,"5,615","0,08",0,"311,67","311,67"
2024-01-13T13:30:00Z,0,"260,117",0,0,"5,13","0,08",0,"265,248","265,248"
2024-01-13T13:45:00Z,0,"305,58",0,0,"5,704","0,08",0,"311,285","311,285"
2024-01-13T14:00:00Z,0,"250,538",0,0,"5,333","0,08",0,"255,871","255,871"
2024-01-13T14:15:00Z,0,"281,319",0,0,"5,071","0,08",0,"286,391","286,391"
2024-01-13T14:30:00Z,0,"543,371",0,0,"5,023","0,08",0,"548,394","548,394"
2024-01-13T14:45:00Z,0,"428,844",0,0,"5,05","0,08",0,"433,894","433,894"
2024-01-13T15:00:00Z,0,"685,528",0,0,"4,916","0,08",0,"690,444","690,444"
2024-01-13T15:15:00Z,0,"482,185",0,0,"4,909","0,08",0,"487,094","487,094"
2024-01-13T15:30:00Z,0,"496,006",0,0,"4,982","0,08",0,"500,989","500,989"
2024-01-13T15:45:00Z,0,"620,735",0,0,"5,013","0,08",0,"625,749","625,749"
2024-01-13T16:00:00Z,0,"480,862",0,0,"4,966","0,08",0,"485,828","485,828"
2024-01-13T16:15:00Z,0,"447,872",0,0,"4,853","0,08",0,"452,725","452,725"
2024-01-13T16:30:00Z,0,"570,157",0,"0,003","2,228","0,08",0,"572,383","572,383"
2024-01-13T16:45:00Z,0,"659,313",0,0,0,"0,08",0,"659,313","659,313"
2024-01-13T17:00:00Z,0,"732,015",0,0,0,"0,08",0,"732,015","732,015"
2024-01-13T17:15:00Z,0,"487,72",0,0,0,"0,08",0,"487,72","487,72"
2024-01-13T17:30:00Z,0,"409,389",0,0,0,"0,08",0,"409,389","409,389"
2024-01-13T17:45:00Z,0,"409,334",0,0,0,"0,08",0,"409,334","409,334"
2024-01-13T18:00:00Z,0,"354,559",0,0,0,"0,08",0,"354,559","354,559"
2024-01-13T18:15:00Z,0,"197,675",0,0,0,"0,08",0,"197,675","197,675"
2024-01-13T18:30:00Z,0,"224,002",0,0,0,"0,08",0,"224,002","224,002"
2024-01-13T18:45:00Z,0,"243,82",0,0,0,"0,08",0,"243,82","243,82"
2024-01-13T19:00:00Z,0,"271,994",0,0,0,"0,08",0,"271,994","271,994"
2024-01-13T19:15:00Z,0,"277,98",0,0,0,"0,08",0,"277,98","277,98"
2024-01-13T19:30:00Z,0,"213,99",0,0,0,"0,08",0,"213,99","213,99"
2024-01-13T19:45:00Z,0,"179,454",0,0,0,"0,08",0,"179,454","179,454"
2024-01-13T20:00:00Z,0,"255,874",0,0,0,"0,08",0,"255,874","255,874"
2024-01-13T20:15:00Z,0,"232,052",0,0,0,"0,08",0,"232,052","232,052"
2024-01-13T20:30:00Z,0,"318,104",0,0,0,"0,08",0,"318,104","318,104"
2024-01-13T20:45:00Z,0,"423,541",0,0,0,"0,08",0,"423,541","423,541"
2024-01-13T21:00:00Z,0,"357,141",0,0,0,"0,08",0,"357,141","357,141"
2024-01-13T21:15:00Z,0,"318,373",0,0,0,"0,08",0,"318,373","318,373"
